0,1262,1653,1738,2792,1250,620,2521,2157,1837,1581,2260,2804,2116,2298,2106,1998,4017,2708,702,3035,1993,1325,1110,3690,2745,865,3287,2124,1465,626,802,1567,3698,2474,2203,3326,1476,2437,1988,2439,3388,1140,1943,2215,1059,3392,2099,2730,2968,2789,1863,4029,1807,3981,3592,1654,1682,3117,2170,2430,2896,1939,782,3036,3052,1885,2237,2177,2293
1262,0,2239,2182,2271,2237,1838,2378,1915,1002,992,2783,1721,1239,1071,3189,736,3966,2689,1489,3501,3102,539,2266,3825,2613,665,2632,2431,220,749,1112,1541,3125,1569,3226,3053,2492,1714,3006,3613,2154,2400,1856,987,2092,3116,2903,3559,1927,3069,832,3936,3050,3890,2449,2603,1722,2196,3137,1194,1939,1066,1095,2105,2516,2828,975,1340,2253
1653,2239,0,3376,4327,2685,1384,4154,1320,1961,3023,3856,3954,3440,3232,3254,2804,5670,4358,956,4621,3113,1843,2351,5337,4383,2299,4773,3770,2444,1595,1147,958,5229,3789,3434,4947,2836,3867,3256,3323,4230,1951,1044,3153,890,5013,3564,4122,4165,4428,3064,5680,2533,5632,4643,3054,850,4428,3478,3329,4174,2047,1168,4337,4587,3257,2976,2106,3936
1738,2182,3376,0,1801,989,2074,1144,3794,3145,1488,601,2700,1955,2698,1638,2681,2358,1146,2438,1346,1645,2604,1400,1966,1288,1540,2342,408,2238,2103,2477,3239,2562,2174,1523,1903,1098,1880,1360,2223,3590,1945,3619,2645,2637,1964,914,1496,2735,1052,2074,2394,2152,2347,3456,992,3378,2625,1346,2825,2530,3224,2453,2585,2003,1094,2896,3498,880
2792,2271,4327,1801,0,2697,3357,774,4185,3190,1318,2088,1431,1123,1957,3439,2241,1920,1077,3404,2369,3445,2809,3045,2046,843,2028,547,1600,2151,2741,3198,3791,907,982,3314,893,2865,629,3160,4024,2351,3516,4124,1962,3850,941,2662,3109,1323,1781,1547,1847,3883,1809,1953,2788,3969,1008,3128,2020,1063,3218,3175,1015,261,2894,2332,3465,972
1250,2237,2685,989,2697,0,1302,2116,3401,3028,1963,1248,3304,2531,3068,959,2907,3296,2134,1844,1972,890,2486,425,2836,2275,1595,3244,1372,2379,1826,2050,2805,3517,2831,992,2892,255,2623,772,1453,4094,982,3174,2997,1845,2952,882,1486,3396,1913,2485,3346,1187,3299,4104,404,2906,3384,928,3205,3236,3125,2030,3327,2924,635,3147,3380,1850
620,1838,1384,2074,3357,1302,0,3008,2264,2231,2191,2501,3423,2734,2896,1930,2570,4424,3148,659,3256,1796,1786,974,4036,3218,1485,3868,2481,2050,1120,1041,1671,4258,3092,2086,3821,1453,3040,1895,2123,3986,700,2004,2813,563,3886,2180,2744,3588,3112,2482,4451,1389,4403,4210,1670,1728,3732,2111,3025,3514,2336,1032,3652,3615,1876,2803,2537,2762
2521,2378,4154,1144,774,2116,3008,0,4253,3371,1397,1329,2070,1520,2404,2750,2577,1591,361,3200,1611,2773,2904,2507,1494,238,1930,1264,862,2325,2646,3092,3779,1421,1548,2604,813,2242,1167,2469,3340,3011,3026,4141,2384,3546,878,1933,2342,2013,1024,1856,1570,3293,1523,2690,2130,3946,1759,2411,2498,1762,3422,3067,1751,910,2203,2727,3689,266
2157,1915,1320,3794,4185,3401,2264,4253,0,1093,2900,4365,3392,3116,2588,4179,2151,5843,4537,1609,5135,4050,1376,3186,5639,4491,2343,4519,4132,2041,1691,1355,599,5023,3408,4313,4962,3613,3611,4107,4381,3390,2954,283,2526,1992,5025,4256,4886,3625,4803,2683,5823,3620,5776,3931,3804,547,3979,4305,2641,3714,1122,1376,3886,4426,4032,2230,1024,4095
1837,1002,1961,3145,3190,3028,2231,3371,1093,0,1976,3745,2301,2084,1496,3935,1061,4954,3689,1641,4481,3827,550,2946,4827,3605,1605,3478,3420,1053,1215,1201,1019,3988,2350,4014,4015,3274,2588,3794,4272,2338,2909,1160,1435,2231,4075,3790,4446,2534,4066,1650,4919,3600,4874,2848,3422,1173,2898,3956,1548,2633,105,1205,2805,3418,3654,1140,356,3254
1581,992,3023,1488,1318,1963,2191,1397,2900,1976,0,2053,1345,579,1210,2891,1241,2979,1725,2124,2685,2843,1529,2176,2870,1629,740,1750,1615,928,1429,1885,2478,2209,917,2854,2062,2199,861,2649,3416,2149,2522,2819,1158,2625,2125,2361,2979,1459,2188,586,2945,3044,2900,2150,2226,2655,1544,2715,1337,1341,2025,1862,1468,1574,2415,1434,2292,1302
