0,1297,471,449,388,683,220,1532,1586,969,1395,1099,294,1535,593,820,1386,980,249,155,1446,1551,893,1516,1614,784,604,448,267,491,774,905,1132,879,371,1097,644,1354,800,1354
1297,0,1004,849,1044,793,1077,692,460,438,349,676,1238,759,878,485,822,1086,1254,1189,346,369,1141,780,701,742,1229,1383,1368,1003,1086,937,349,898,1161,813,715,155,941,69
471,1004,0,364,586,713,357,1087,1193,594,1206,644,652,1464,142,533,1371,1143,290,487,1063,1327,1095,1457,1501,337,899,379,395,661,336,435,750,408,164,1127,290,1104,330,1045
449,849,364,0,284,349,229,1167,1167,562,957,777,436,1148,371,382,1031,781,467,344,1025,1106,740,1135,1206,486,589,663,574,325,677,706,719,664,442,772,283,906,615,907
388,1044,586,284,0,312,258,1441,1412,828,1069,1061,195,1160,635,627,1002,606,549,233,1269,1237,533,1138,1249,769,314,770,622,103,921,978,977,938,596,710,567,1067,882,1109
683,793,713,349,312,0,498,1301,1207,695,766,990,499,853,697,481,707,451,787,532,1067,939,438,833,937,758,436,997,881,232,1011,1006,815,960,786,430,554,788,929,862
220,1077,357,229,258,498,0,1346,1378,763,1180,928,295,1341,442,603,1205,860,296,142,1237,1333,791,1324,1411,615,554,516,383,353,692,781,925,747,339,926,447,1135,679,1135
1532,692,1087,1167,1441,1301,1346,0,339,616,1034,445,1603,1447,948,828,1513,1694,1377,1487,362,992,1721,1471,1373,752,1711,1401,1476,1445,944,744,487,737,1241,1464,900,836,822,648
1586,460,1193,1167,1412,1207,1378,339,0,617,761,624,1594,1168,1051,788,1265,1541,1478,1509,143,684,1588,1197,1077,863,1640,1549,1587,1392,1140,947,454,926,1356,1273,944,572,999,397
969,438,594,562,828,695,763,616,617,0,725,324,997,1084,458,214,1072,1115,870,898,479,798,1127,1092,1069,304,1095,968,982,829,648,510,163,467,758,937,328,570,503,466
1395,349,1206,957,1069,766,1180,1034,761,725,0,1007,1262,413,1103,678,510,910,1412,1262,676,179,992,438,353,1009,1166,1577,1524,998,1358,1235,681,1192,1348,598,921,198,1219,386
1099,676,644,777,1061,990,928,445,624,324,1007,0,1202,1390,508,517,1392,1425,933,1070,530,1044,1427,1402,1360,316,1355,958,1031,1085,518,323,328,304,796,1260,494,828,384,675
