0,242,328,315,363,165,258,338,60,336,286,17,84,218,432,214,453,274,131,233
242,0,395,122,392,85,227,398,183,125,226,256,297,352,320,284,360,381,119,373
328,395,0,349,62,328,177,12,343,380,196,319,266,126,275,121,259,70,313,126
315,122,349,0,327,154,172,349,267,31,154,325,344,347,204,264,248,357,185,368
363,392,62,327,0,335,165,51,369,357,174,357,310,180,223,149,201,130,326,184
165,85,328,154,335,0,178,333,113,172,189,177,212,271,314,211,347,305,35,292
258,227,177,172,165,178,0,178,241,203,33,259,243,189,178,104,195,188,178,209
338,398,12,349,51,333,178,0,352,379,195,329,277,138,268,129,250,82,319,138
60,183,343,267,369,113,241,352,0,285,264,76,135,248,406,223,432,298,82,266
336,125,380,31,357,172,203,379,285,0,184,347,370,378,220,295,266,388,205,399
286,226,196,154,174,189,33,195,264,184,0,288,275,221,147,136,168,215,194,240
17,256,319,325,357,177,259,329,76,347,288,0,68,206,435,208,454,263,143,220
84,297,266,344,310,212,243,277,135,370,275,68,0,145,421,168,434,204,178,156
218,352,126,347,180,271,189,138,248,378,221,206,145,0,348,86,346,59,245,21
432,320,275,204,223,314,178,268,406,220,147,435,421,348,0,269,46,322,329,362
214,284,121,264,149,211,104,129,223,295,136,208,168,86,269,0,273,97,192,105
453,360,259,248,201,347,195,250,432,266,168,454,434,346,46,273,0,313,359,358
274,381,70,357,130,305,188,82,298,388,215,263,204,59,322,97,313,0,284,56
131,119,313,185,326,35,178,319,82,205,194,143,178,245,329,192,359,284,0,266
233,373,126,368,184,292,209,138,266,399,240,220,156,21,362,105,358,56,266,0
