0,1693,102,1599,91,686,903,1562,1825,984,1367,1371,906,556,1235,1077,951,1965,665,1241,931,694,1029,908,1907,1093,1181,2128,1008,1619,807,1372,547,395,1065,1558,1546,1593,1277,1700,1779,1445,669,832,32,1315,772,833,1084,1285
1693,0,1791,851,1752,2234,1576,620,731,709,333,1995,1664,1443,1454,2592,1708,789,2283,677,929,2328,2045,2154,1278,2457,2220,1610,1094,615,1540,2176,2057,2081,2594,559,371,1360,2022,337,1686,1387,1842,1345,1724,1935,2066,1695,986,2062
102,1791,0,1700,110,645,918,1643,1904,1082,1464,1360,911,595,1266,985,952,2067,605,1343,1033,593,1057,852,1962,1072,1137,2171,1105,1700,879,1345,470,310,971,1641,1636,1636,1259,1802,1807,1484,704,919,70,1307,717,833,1183,1263
1599,851,1700,0,1617,1901,1926,1368,1552,912,857,2441,1999,1640,1965,2661,2054,414,1999,431,678,2293,1482,2353,2047,1976,2520,2381,619,1386,1051,2571,2108,1911,2653,1310,1125,2021,2424,535,2346,1991,1416,883,1631,2375,2232,1993,521,2455
91,1752,110,1617,0,595,991,1642,1907,1046,1429,1451,991,647,1326,1087,1035,1991,579,1273,958,682,955,961,1997,1002,1243,2219,1014,1699,771,1445,579,329,1072,1636,1618,1684,1354,1744,1870,1536,598,817,85,1396,826,917,1097,1360
686,2234,645,1901,595,0,1560,2209,2478,1556,1931,1969,1546,1238,1911,1250,1583,2309,147,1654,1338,820,680,1363,2592,451,1673,2813,1288,2265,862,1920,948,412,1222,2197,2156,2278,1857,2158,2452,2128,499,1018,672,1922,1244,1464,1398,1854
903,1576,918,1926,991,1560,0,1129,1322,1024,1270,536,89,379,378,1153,133,2167,1499,1495,1312,1089,1906,635,1163,1990,644,1304,1518,1180,1563,645,770,1177,1168,1161,1263,786,499,1756,897,620,1546,1492,906,471,599,153,1528,529
1562,620,1643,1368,1642,2209,1129,0,270,722,517,1453,1217,1137,908,2253,1249,1398,2219,1038,1133,2080,2212,1758,680,2528,1753,1014,1365,57,1716,1655,1772,1953,2263,62,255,745,1505,933,1067,792,1929,1542,1587,1400,1698,1272,1288,1547
1825,731,1904,1552,1907,2478,1322,270,0,987,736,1573,1407,1378,1045,2467,1432,1519,2485,1263,1388,2320,2479,1957,571,2798,1918,891,1615,218,1980,1787,2007,2214,2479,297,438,778,1643,1068,1067,876,2199,1803,1850,1527,1910,1471,1531,1686
984,709,1082,912,1046,1556,1024,722,987,0,383,1529,1102,788,1059,1913,1155,1148,1592,483,431,1625,1492,1518,1310,1832,1642,1622,673,770,994,1667,1366,1375,1912,690,607,1176,1517,771,1486,1114,1222,821,1015,1464,1413,1107,622,1550
1367,333,1464,857,1429,1931,1270,517,736,383,0,1720,1356,1113,1195,2260,1403,950,1973,527,684,1995,1806,1831,1192,2185,1912,1524,892,543,1298,1889,1724,1758,2262,462,299,1179,1735,499,1507,1171,1569,1109,1397,1658,1738,1381,801,1773
1371,1995,1360,2441,1451,1969,536,1453,1573,1529,1720,0,490,904,546,1196,436,2653,1882,2010,1845,1324,2397,703,1215,2416,462,1214,2054,1493,2087,223,1053,1561,1223,1501,1645,836,132,2219,732,702,2036,2025,1367,66,772,544,2062,163
906,1664,911,1999,991,1546,89,1217,1407,1102,1356,490,0,414,436,1074,56,2248,1478,1569,1376,1033,1922,551,1229,1982,556,1355,1576,1268,1598,574,718,1154,1090,1250,1352,846,434,1840,930,679,1561,1536,906,427,525,88,1591,460
556,1443,595,1640,647,1238,379,1137,1378,788,1113,904,414,0,680,1150,469,1927,1199,1217,988,943,1531,730,1372,1648,881,1576,1173,1193,1185,973,637,889,1154,1150,1196,1041,843,1558,1224,890,1173,1122,566,841,627,375,1198,864
1235,1454,1266,1965,1326,1911,378,908,1045,1059,1195,546,436,680,0,1499,437,2141,1861,1542,1432,1467,2194,968,795,2328,878,926,1663,949,1800,748,1148,1541,1517,955,1100,410,599,1694,544,243,1841,1695,1244,492,958,522,1647,642
1077,2592,985,2661,1087,1250,1153,2253,2467,1913,2260,1196,1074,1150,1499,0,1063,3004,1109,2274,1984,440,1895,532,2293,1666,740,2373,2084,2308,1848,1026,555,908,33,2276,2341,1902,1064,2681,1904,1737,1596,1904,1048,1187,557,1000,2155,1034
951,1708,952,2054,1035,1583,133,1249,1432,1155,1403,436,56,469,437,1063,0,2300,1511,1623,1432,1045,1970,534,1232,2022,512,1344,1632,1299,1651,518,735,1187,1080,1284,1392,845,378,1889,909,678,1609,1591,950,374,522,119,1647,404
1965,789,2067,414,1991,2309,2167,1398,1519,1148,950,2653,2248,1927,2141,3004,2300,0,2403,730,1034,2657,1894,2655,2067,2390,2790,2399,1022,1400,1465,2806,2449,2298,2998,1336,1143,2119,2654,466,2447,2120,1829,1292,1997,2589,2542,2255,915,2689
665,2283,605,1999,579,147,1499,2219,2485,1592,1973,1882,1478,1199,1861,1109,1511,2403,0,1729,1410,685,827,1253,2567,568,1564,2774,1381,2276,976,1819,842,324,1080,2211,2182,2239,1765,2228,2396,2084,623,1118,645,1837,1138,1393,1488,1760
1241,677,1343,431,1273,1654,1495,1038,1263,483,527,2010,1569,1217,1542,2274,1623,730,1729,0,320,1930,1379,1937,1699,1819,2093,2027,421,1068,882,2140,1719,1589,2268,986,825,1627,1993,508,1947,1583,1213,687,1273,1944,1820,1564,309,2024
931,929,1033,678,958,1338,1312,1133,1388,431,684,1845,1376,988,1432,1984,1432,1034,1410,320,0,1624,1124,1683,1741,1529,1869,2052,243,1176,616,1950,1430,1270,1976,1093,971,1596,1809,820,1897,1520,915,425,963,1779,1559,1356,217,1836
694,2328,593,2293,682,820,1089,2080,2320,1625,1995,1324,1033,943,1467,440,1045,2657,685,1930,1624,0,1456,631,2249,1252,934,2388,1696,2136,1424,1213,321,469,416,2091,2123,1875,1195,2373,1952,1709,1157,1494,662,1293,553,946,1776,1178
1029,2045,1057,1482,955,680,1906,2212,2479,1492,1806,2397,1922,1531,2194,1895,1970,1894,827,1379,1124,1456,0,1901,2736,517,2194,3009,958,2261,508,2400,1494,992,1870,2182,2084,2493,2306,1874,2732,2369,361,700,1037,2340,1768,1855,1073,2314
908,2154,852,2353,961,1363,635,1758,1957,1518,1831,703,551,730,968,532,534,2655,1253,1937,1683,631,1901,0,1761,1814,311,1845,1834,1810,1712,582,417,954,552,1786,1871,1370,571,2287,1382,1205,1554,1713,890,681,136,486,1880,551
1907,1278,1962,2047,1997,2592,1163,680,571,1310,1192,1215,1229,1372,795,2293,1232,2067,2567,1699,1741,2249,2736,1761,0,2971,1637,334,1983,669,2269,1438,1928,2261,2312,740,931,392,1317,1605,558,556,2414,2116,1924,1187,1753,1312,1922,1359
1093,2457,1072,1976,1002,451,1990,2528,2798,1832,2185,2416,1982,1648,2328,1666,2022,2390,568,1819,1529,1252,517,1814,2971,0,2124,3211,1409,2581,942,2371,1399,863,1636,2507,2439,2678,2306,2325,2872,2535,616,1133,1085,2367,1695,1903,1526,2304
1181,2220,1137,2520,1243,1673,644,1753,1918,1642,1912,462,556,881,878,740,512,2790,1564,2093,1869,934,2194,311,1637,2124,0,1668,2043,1800,1971,289,725,1262,768,1790,1904,1246,335,2392,1189,1091,1841,1952,1166,465,431,535,2076,299
2128,1610,2171,2381,2219,2813,1304,1014,891,1622,1524,1214,1355,1576,926,2373,1344,2399,2774,2027,2052,2388,3009,1845,334,3211,1668,0,2295,1003,2557,1429,2072,2458,2395,1074,1265,535,1334,1938,482,691,2676,2413,2141,1203,1861,1443,2240,1373
1008,1094,1105,619,1014,1288,1518,1365,1615,673,892,2054,1576,1173,1663,2084,1632,1022,1381,421,243,1696,958,1834,1983,1409,2043,2295,0,1405,467,2145,1541,1297,2073,1322,1188,1839,2010,918,2137,1760,817,278,1039,1989,1704,1548,117,2034
1619,615,1700,1386,1699,2265,1180,57,218,770,543,1493,1268,1193,949,2308,1299,1400,2276,1068,1176,2136,2261,1810,669,2581,1800,1003,1405,0,1763,1697,1829,2010,2317,83,262,765,1548,936,1082,822,1981,1587,1644,1441,1752,1324,1326,1590
807,1540,879,1051,771,862,1563,1716,1980,994,1298,2087,1598,1185,1800,1848,1651,1465,976,882,616,1424,508,1712,2269,942,1971,2557,467,1763,0,2131,1349,973,1830,1683,1578,2057,2016,1385,2321,1948,367,195,829,2025,1576,1546,584,2031
1372,2176,1345,2571,1445,1920,645,1655,1787,1667,1889,223,574,973,748,1026,518,2806,1819,2140,1950,1213,2400,582,1438,2371,289,1429,2145,1697,2131,0,977,1508,1055,1700,1836,1059,154,2384,947,921,2041,2089,1363,260,682,598,2164,117
547,2057,470,2108,579,948,770,1772,2007,1366,1724,1053,718,637,1148,555,735,2449,842,1719,1430,321,1494,417,1928,1399,725,2072,1541,1829,1349,977,0,537,550,1787,1830,1556,931,2130,1644,1390,1155,1379,522,1014,296,630,1606,922
