0,400,624,460,481,557,657,681,262,646,542,560,557,335,476,211,281,539,599,750,588,501,808,377,469,118,291,826,653,133
400,0,235,674,702,775,567,704,190,273,251,161,166,602,169,267,612,603,500,569,250,662,505,117,726,302,208,535,362,320
624,235,0,805,834,897,550,733,377,63,194,120,166,764,185,452,798,672,495,487,124,771,329,258,871,535,434,365,236,554
460,674,805,0,29,103,455,338,486,789,629,810,833,132,620,417,233,224,440,611,704,84,800,573,83,546,692,798,684,578
481,702,834,29,0,77,476,349,515,818,658,839,862,148,649,445,242,244,464,633,733,99,827,602,64,570,718,824,711,601
557,775,897,103,77,0,501,346,589,877,716,908,933,222,713,520,308,269,499,660,792,131,868,672,104,647,795,862,761,678
657,567,550,455,476,501,0,204,469,503,361,621,664,513,415,466,610,233,67,160,426,379,390,453,538,664,714,376,335,702
681,704,733,338,349,346,204,0,564,693,539,788,827,440,577,532,547,144,242,353,610,254,594,587,413,722,813,578,533,760
262,190,377,486,515,589,469,564,0,390,280,341,355,412,215,78,427,444,403,524,327,482,548,119,536,212,250,569,393,246
646,273,63,789,818,877,503,693,390,0,162,181,228,758,180,461,800,642,451,429,86,749,266,271,859,565,479,302,179,588
542,251,194,629,658,716,361,539,280,162,0,261,306,606,83,338,658,480,302,326,76,587,271,179,701,484,448,295,117,514
560,161,120,810,839,908,621,788,341,181,261,0,48,750,211,419,768,708,559,581,213,788,446,237,868,459,334,482,337,472
557,166,166,833,862,933,664,827,355,228,306,48,0,767,250,433,778,741,601,628,261,815,494,261,889,450,312,530,385,460
335,602,764,132,148,222,513,440,412,758,606,750,767,0,580,335,107,305,482,657,677,198,814,515,136,431,588,818,681,459
476,169,185,620,649,713,415,577,215,180,83,211,250,580,0,282,620,499,351,402,112,589,350,101,686,408,365,376,199,437
211,267,452,417,445,520,466,532,78,461,338,419,433,335,282,0,349,402,403,543,393,421,599,194,462,198,288,616,445,236
281,612,798,233,242,308,610,547,427,800,658,768,778,107,620,349,0,410,572,747,724,305,885,541,207,392,561,892,744,413
539,603,672,224,244,269,233,144,444,642,480,708,741,305,499,402,410,0,230,391,556,146,601,487,307,585,689,593,505,622
599,500,495,440,464,499,67,242,403,451,302,559,601,482,351,403,572,230,0,175,371,371,371,386,523,600,647,363,292,638
750,569,487,611,633,660,160,353,524,429,326,581,628,657,402,543,747,391,175,0,369,537,250,471,694,734,749,228,251,770
588,250,124,704,733,792,426,610,327,86,76,213,261,677,112,393,724,556,371,369,0,663,255,212,775,518,457,286,124,545
501,662,771,84,99,131,379,254,482,749,587,788,815,198,589,421,305,146,371,537,663,0,738,554,163,574,706,733,630,608
808,505,329,800,827,868,390,594,548,266,271,446,494,814,350,599,885,601,371,250,255,738,0,449,881,755,711,37,155,785
377,117,258,573,602,672,453,587,119,271,179,237,261,515,101,194,541,487,386,471,212,554,449,0,631,307,278,474,296,336
469,726,871,83,64,104,538,413,536,859,701,868,889,136,686,462,207,307,523,694,775,163,881,631,0,567,724,879,761,595
118,302,535,546,570,647,664,722,212,565,484,459,450,431,408,198,392,585,600,734,518,574,755,307,567,0,173,777,600,38
291,208,434,692,718,795,714,813,250,479,448,334,312,588,365,288,561,689,647,749,457,706,711,278,724,173,0,740,564,166
826,535,365,798,824,862,376,578,569,302,295,482,530,818,376,616,892,593,363,228,286,733,37,474,879,777,740,0,178,809
653,362,236,684,711,761,335,533,393,179,117,337,385,681,199,445,744,505,292,251,124,630,155,296,761,600,564,178,0,631
133,320,554,578,601,678,702,760,246,588,514,472,460,459,437,236,413,622,638,770,545,608,785,336,595,38,166,809,631,0
