0,8587,9768,9272,810,7876,6121,564,7142,9692,7984,8174,5710,4138,3002,7109,5887,6228,5616,6862,6289,3060,3098,5944,5708,6103,2878,1591,1775,6912,7172,8824,562,9584,3621,5447,7045,6097,8964,9265,8175,5568,3084,3227,1395,4878,7034,4659,4980,9936,2108,4990,2658,2178,2371,358,1875,8469,7215,8158,8710,11410,9569,8160,4780,3223,8534,8574,10455,8639,9663,6898,7399,9285,4463,2259,7330,5054,2475,6530,9835,5846,9408,8614,6127,4154,6099,7180,6482,6387,2942,8133,10942,8043,8227,9987,628,9264,2172,1049
8587,0,6746,9120,9377,10104,10539,8052,3660,6558,3504,439,10049,4944,5640,11406,7283,7016,7532,7077,2481,5675,5541,4128,2881,2583,8773,8545,9800,12218,5703,1507,9027,5419,8825,6622,8317,2564,9571,3723,10661,3628,7968,5387,9731,10536,10199,4112,10286,5582,6727,10709,5931,6650,7119,8253,7362,7967,1646,10802,6188,8715,9352,5164,4021,10040,8562,2890,8258,75,5362,2018,10441,7498,4454,6477,10394,10191,6154,8767,5434,11058,4502,2886,2478,4436,2539,1640,4373,11230,9662,9812,7865,10769,2743,7271,9087,7490,6656,7669
9768,6746,0,3140,10483,5337,7206,9256,3677,189,3347,6818,6944,8735,8240,7554,4314,3852,4709,3275,7464,7213,7407,4429,6868,6106,7852,10774,9817,8816,2602,5313,10329,1425,7327,4437,4054,6187,3899,3154,5808,5335,7111,7430,10103,8181,6091,7941,7795,1457,9156,8309,8093,9109,9961,9435,9843,2456,7436,5998,1062,2054,3231,1917,7971,8898,3037,3858,1523,6702,1529,5627,6106,1243,8325,7767,6101,7625,8450,4922,1552,8076,2366,3865,6941,7146,7118,7371,3730,7877,8678,4793,1295,6040,4019,529,10395,1252,9112,8760
9272,9120,3140,0,9834,2545,4881,8868,5521,3283,5639,9074,4803,9622,8727,4904,3433,3204,3660,2664,9107,7518,7800,5630,8328,7702,6714,10607,8752,6234,3531,7867,9797,4432,6013,4052,2246,7784,819,5972,2891,6585,6220,7897,9163,6201,3543,9024,5817,4558,9359,6284,8421,9336,10202,9001,9941,1179,9365,3082,3073,3038,306,3992,9096,7417,763,6412,2233,9094,4558,7527,3421,1916,9334,7780,3441,5640,8749,2953,4627,5789,5270,6432,8550,7999,8713,9296,5050,5430,7321,1959,3223,3154,6438,2765,9855,1911,9337,8423
810,9377,10483,9834,0,8285,6359,1374,7938,10414,8783,8962,5992,4829,3764,7303,6500,6867,6203,7503,7053,3870,3906,6739,6497,6908,3237,1701,1603,6958,7898,9633,394,10346,3992,6114,7592,6900,9478,10064,8542,6377,3614,4032,1085,5003,7383,5407,5163,10698,2792,5091,3446,2867,2877,1167,2407,9085,7981,8509,9430,12077,10126,8915,5526,3267,9110,9381,11115,9430,10428,7705,7743,9953,5187,3068,7674,5261,3239,7016,10600,5974,10193,9421,6911,4951,6877,7948,7264,6540,3064,8586,11637,8390,9035,10684,359,9932,2861,1846
7876,10104,5337,2545,8285,0,2466,7587,6474,5433,6893,9952,2535,9298,8158,2359,2981,3126,2907,3038,9451,6938,7256,6090,8590,8142,5048,9377,6963,3690,4495,9102,8338,6380,4293,3744,1787,8215,1770,7604,558,6903,4834,7401,7440,3930,1085,8911,3575,6596,8505,3977,7755,8503,9316,7673,8959,2883,9935,717,4868,5583,2692,5461,9011,5415,2317,7771,4744,10096,6512,8233,885,4119,9134,6929,915,3409,8026,1554,6624,3349,7044,7802,8914,7804,9050,9865,5734,2928,5419,586,5705,722,7685,5089,8386,4106,8502,7221
6121,10539,7206,4881,6359,2466,0,5968,7190,7257,7826,10293,517,8518,7222,1040,3429,3839,3090,4158,9312,6119,6436,6420,8439,8202,3270,7703,4871,1731,5564,9838,6495,7958,2589,3956,3153,8259,4180,8809,2459,6982,3453,6614,5387,1527,1382,8367,1235,8238,7254,1541,6757,7272,7979,6001,7549,4845,9980,2357,6479,7859,5078,6745,8486,3200,4443,8718,6948,10548,8086,8535,1639,6103,8487,5827,1587,1108,6946,2293,8228,908,8419,8755,8833,7278,8934,9916,6324,720,3311,2997,7839,2232,8536,7083,6531,6085,7270,5715
564,8052,9256,8868,1374,7587,5968,0,6581,9176,7423,7643,5531,3716,2513,6981,5458,5779,5208,6407,5784,2497,2543,5385,5178,5553,2698,1790,2045,6890,6656,8266,1107,9042,3407,4979,6660,5549,8596,8704,7915,5004,2755,2678,1776,4824,6794,4175,4882,9394,1736,4949,2137,1797,2177,207,1689,8029,6707,7911,8196,10931,9168,7624,4299,3267,8123,8010,9981,8103,9120,6342,7161,8808,4006,1695,7091,4937,1989,6192,9292,5776,8854,8050,5602,3616,5580,6669,5931,6293,2941,7812,10444,7799,7663,9489,1174,8787,1792,500
7142,3660,3677,5521,7938,6474,7190,6581,0,3513,848,3567,6738,5177,4936,7963,3790,3453,4101,3436,3803,4168,4258,1201,3193,2429,6190,7781,7768,8915,2045,2667,7687,2790,5990,3247,4689,2511,5925,2129,7032,1805,5335,4219,7888,7492,6663,4331,7181,3110,5987,7659,4919,5926,6712,6784,6705,4350,3889,7180,2823,5728,5772,1784,4347,7454,4924,1611,5045,3644,2820,2037,6874,4081,4731,4904,6832,7055,5265,5215,2975,7834,2328,1652,3270,3687,3447,3821,885,7905,7122,6160,4958,7155,1364,4141,7754,4069,5931,6093
9692,6558,189,3283,10414,5433,7257,9176,3513,0,3166,6632,6983,8593,8118,7628,4304,3837,4702,3276,7294,7105,7293,4292,6706,5941,7821,10678,9775,8880,2520,5124,10254,1240,7310,4394,4105,6022,4029,2965,5913,5189,7070,7312,10052,8202,6164,7791,7819,1289,9045,8334,7979,8997,9846,9357,9736,2550,7256,6102,984,2227,3385,1768,7820,8884,3146,3669,1712,6514,1347,5452,6189,1372,8178,7671,6182,7650,8336,4967,1378,8120,2178,3676,6773,7010,6950,7192,3595,7933,8658,4897,1446,6141,3833,718,10320,1380,9001,8679
