0,3296,2422,3166,6111,2887,4201,2434,3449,3669,1392,1432,5722,4150,4586,2453,1292,1987,5483,3776,1966,3831,6929,1509,6620,4931,2034,7392,921,2588,6019,1384,3558,4453,4973,18,4229,4141,2661,5487,5290,643,5100,5688,3056,5813,513,5469,6165,3211,2051,6932,5794,1545,3319,6731,6148,431,3369,4321,8032,6578,4399,6709,941,5071,5212,5984,6214,2704,2030,5503,5547,4197,4373,4246,5010,3287,4120,5274,6635,3001,6423,4235,6233,1615,3715,1544,6341,5839
3296,0,3674,3870,3466,3177,2935,2460,4241,2208,4306,2036,2579,3456,1492,3415,2410,3937,2569,480,3486,1878,5740,3962,4201,2677,1561,5940,2992,4489,2796,3287,6373,2602,1781,3286,3107,2776,3583,2274,2558,3890,4990,3232,2271,2517,3270,2180,4161,4342,3931,5750,4567,4318,4867,5044,2894,3717,1047,2644,4774,4664,1945,4259,2378,1858,2849,2701,3584,4748,5199,2210,3445,1722,2698,2232,4941,6004,873,5150,4215,818,3707,1568,3131,1787,4616,4662,3195,2543
2422,3674,0,778,5010,905,2586,1270,5750,2467,1872,3022,5260,2189,5164,305,1666,4397,4761,4075,4301,2891,4790,1266,5250,3760,3391,5338,1553,902,5672,1039,3083,5864,5411,2436,5961,2619,333,5187,6205,2851,2735,4498,4755,5860,1910,5619,4555,5565,4456,4791,3781,3909,1208,4853,6392,2442,4362,5807,8187,4854,5466,5353,2586,5468,6384,5838,5083,1178,2752,5624,4113,5234,5865,5551,2642,2672,4511,2903,5264,3930,5341,5152,5633,2991,6052,2336,5800,5890
3166,3870,778,0,4607,697,2123,1428,6411,2224,2631,3593,5073,1583,5323,722,2246,5120,4506,4212,4990,2702,4041,2034,4743,3393,3879,4606,2267,1375,5508,1788,3540,6246,5514,3178,6437,2198,505,5059,6428,3622,1957,4082,5254,5820,2660,5621,3980,6252,5175,4041,3080,4674,1202,4179,6398,3213,4686,6213,8120,4231,5759,4848,3213,5556,6680,5735,4666,1612,3470,5617,3622,5528,6271,5912,1864,3131,4647,2127,4756,4265,4933,5414,5384,3520,6728,3086,5565,5850
6111,3466,5010,4607,0,4112,2484,3960,7707,2589,6558,5257,1539,3114,3699,4713,4853,7287,1006,3217,6875,2297,3399,6004,828,1255,4935,3244,5403,5884,1882,5359,8086,5584,3469,6109,6322,2412,4718,1895,4714,6754,4224,526,5704,2782,5844,2925,1393,7805,7293,3414,2680,7467,5798,2326,3411,6447,4372,5714,4394,1789,4730,849,5388,3400,5335,2367,118,6152,7534,2866,1115,4603,5754,5234,4244,7674,3310,4289,838,4271,331,4352,1323,5009,8081,7019,1519,2801
2887,3177,905,697,4112,0,1681,766,5944,1608,2677,3066,4446,1343,4626,627,1779,4757,3911,3515,4571,2065,4068,2070,4345,2867,3286,4572,1966,1774,4873,1603,3975,5587,4818,2896,5817,1714,607,4408,5734,3424,2272,3597,4655,5145,2415,4937,3663,5818,4805,4071,2984,4431,1827,4017,5714,3024,4015,5563,7455,3981,5078,4448,2750,4861,5997,5078,4183,2044,3606,4934,3208,4847,5621,5247,2190,3563,3950,2450,4359,3599,4443,4727,4788,2961,6276,3152,4962,5175
4201,2935,2586,2123,2484,1681,0,1780,6700,743,4299,3843,3138,712,4082,2305,2919,5816,2498,3056,5515,1092,2928,3706,2664,1300,3798,3275,3342,3429,3591,3139,5630,5537,4124,4204,6005,166,2274,3220,5263,4812,2200,1959,5009,4102,3812,3999,2014,6669,5846,2936,1728,5713,3314,2537,4742,4443,3970,5578,6286,2387,4835,2767,3739,4127,5694,3907,2543,3691,5254,3975,1527,4626,5633,5166,2176,5219,3424,2335,2678,3646,2810,4435,3359,3648,7063,4774,3552,4131
2434,2460,1270,1428,3960,766,1780,0,5260,1373,2601,2358,4032,1746,3935,981,1184,4170,3579,2833,3936,1712,4526,2045,4333,2710,2534,4965,1562,2155,4431,1405,4267,4824,4160,2439,5052,1739,1128,3936,5016,3035,2962,3476,3896,4590,2032,4349,3779,5160,4211,4530,3369,3965,2422,4298,5123,2663,3258,4797,6918,4167,4332,4431,2106,4213,5253,4578,4047,2429,3576,4354,3214,4100,4855,4486,2887,3864,3270,3139,4348,2838,4289,3990,4437,2231,5602,3067,4593,4620
3449,4241,5750,6411,7707,5944,6700,5260,0,5984,4736,2906,6653,6941,4524,5695,4176,1617,6783,4519,1483,5866,9627,4958,8438,6851,2913,9950,4204,6036,6730,4743,6690,3010,4952,3432,2191,6577,5919,6281,4397,3368,8211,7463,2055,6060,3937,5680,8318,413,1536,9635,8428,2573,6755,9122,6026,3661,3402,2792,7649,8808,3638,8499,3202,5071,3896,6444,7825,6153,4965,5742,7607,3598,2803,3127,8132,6516,4554,8389,8452,3436,7939,3818,7211,3067,375,4682,7222,6073
3669,2208,2467,2224,2589,1608,743,1373,5984,0,3974,3159,2849,1272,3432,2163,2377,5166,2303,2368,4841,493,3657,3415,2976,1337,3074,3968,2874,3364,3284,2777,5548,4810,3520,3670,5263,600,2206,2843,4607,4301,2822,2103,4266,3647,3334,3491,2505,5968,5191,3665,2458,5138,3415,3174,4258,3957,3234,4846,5917,2943,4129,3070,3109,3537,5005,3525,2674,3638,4949,3477,1879,3915,4900,4440,2783,5138,2759,2973,2991,2904,2919,3734,3180,2951,6349,4439,3355,3677
1392,4306,1872,2631,6558,2677,4299,2601,4736,3974,0,2730,6476,4018,5720,2070,1913,3165,6110,4780,3267,4283,6662,610,6923,5311,3306,7208,1316,1547,6831,1199,2188,5804,6069,1410,5618,4293,2199,6307,6541,1385,4555,6077,4434,6783,1100,6472,6311,4449,3240,6663,5641,2399,2300,6693,7200,1080,4597,5683,9076,6652,5675,7022,2195,6155,6524,6881,6647,1550,977,6495,5793,5460,5737,5574,4460,1898,5173,4714,6938,4193,6886,5466,6935,2859,4962,476,7072,6812
1432,2036,3022,3593,5257,3066,3843,2358,2906,3159,2730,0,4593,4039,3190,2902,1359,2042,4481,2494,1683,3136,6756,2628,5886,4209,603,7116,1629,3537,4831,2145,4918,3080,3593,1416,2994,3734,3126,4307,3858,1932,5318,4911,1778,4505,1636,4144,5608,2834,2057,6763,5562,2285,4160,6333,4783,1860,1942,2970,6659,6074,2969,5962,538,3697,3797,4728,5370,3729,3460,4184,4922,2765,3025,2844,5241,4611,2785,5496,5901,1594,5541,2805,5135,253,3254,2960,5214,4529
5722,2579,5260,5073,1539,4446,3138,4032,6653,2849,6476,4593,0,3850,2310,4955,4599,6513,695,2181,6054,2381,4854,6001,2354,1917,4140,4761,5197,6162,454,5310,8299,4220,2007,5715,5023,3001,5029,399,3219,6350,5240,1737,4600,1245,5576,1396,2857,6814,6504,4868,3969,6878,6264,3827,1888,6114,3251,4375,3159,3302,3360,2355,4865,1922,3864,863,1634,6438,7437,1335,2344,3271,4408,3895,5236,7896,2100,5342,2362,3279,1582,3017,560,4340,7020,6898,622,1265
4150,3456,2189,1583,3114,1343,712,1746,6941,1272,4018,4039,3850,0,4703,1950,2929,5915,3205,3640,5665,1721,2782,3409,3172,1989,4096,3248,3244,2949,4303,2935,5123,6048,4776,4157,6448,858,1857,3930,5879,4722,1550,2589,5386,4804,3708,4690,2398,6870,5954,2786,1651,5693,2723,2675,5440,4331,4458,6070,6998,2667,5391,3278,3842,4787,6274,4618,3160,3194,4934,4669,2070,5174,6126,5682,1512,4714,4031,1701,3185,4099,3431,5000,4059,3875,7293,4492,4255,4834
